Plant_Id,fuel_cost_2012.01,fuel_cost_2012.02,fuel_cost_2012.03,fuel_cost_2012.04,fuel_cost_2012.05,fuel_cost_2012.06,fuel_cost_2012.07,fuel_cost_2012.08,fuel_cost_2012.09,fuel_cost_2012.10,fuel_cost_2012.11,fuel_cost_2012.12,generation_MWh_2012.01,generation_MWh_2012.02,generation_MWh_2012.03,generation_MWh_2012.04,generation_MWh_2012.05,generation_MWh_2012.06,generation_MWh_2012.07,generation_MWh_2012.08,generation_MWh_2012.09,generation_MWh_2012.10,generation_MWh_2012.11,generation_MWh_2012.12
141,2078.80,0,0,4896.20,4802.00,3042.30,3797.90,721.60,8845.40,0,0.00,0.00,-564.00,-503.00,-532.00,4575.00,3235.00,13370.00,2824.00,31429.00,260.00,-539.00,-482.00,-506.00
147,45829.40,414.00,303.90,321.20,321.80,354.60,381.80,389.10,368.60,417.30,587.40,0,-228.00,22453.00,46616.00,42612.00,49380.00,55711.00,48009.00,49103.00,45041.00,41698.00,15287.00,-101.00
151,1466.00,0,4323.00,1299.00,3915.00,1356.00,2363.00,0,2267.00,4559.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,912.00,580.80,550.20,765.80,766.10,841.70,1266.00,946.90,1394.60,879.80,860.70,828.20,137786.00,125573.00,54574.00,56762.00,126880.00,135757.00,171683.00,194378.00,163794.00,148709.00,142295.00,151552.00
165,1256.50,786.30,713.90,898.70,676.50,751.20,782.60,771.10,752.10,834.20,805.20,831.20,553473.00,470628.00,404307.00,337607.00,436369.00,525867.00,554676.00,537237.00,364914.00,271263.00,253684.00,344708.00
167,0,0,0,0,0,0,0,0,0,0,490.90,429.00,-16.00,-16.00,-19.00,-17.00,-19.00,-17.00,-10.00,-37.00,-36.00,-37.00,1216.00,1589.00
169,0,0,0,0,0,0,0,0,0,0,0,0,-135.00,-133.00,-112.00,-66.00,-71.00,-64.00,-69.00,-69.00,-13.00,-28.00,-99.00,-92.00
170,287.60,304.50,50145.20,269.20,328.40,325.20,366.90,403.30,344.90,432.40,32371.00,29556.50,2742.00,-176.00,-383.00,94611.00,83061.00,92149.00,78059.00,65909.00,127130.00,70833.00,-541.00,-423.00
173,0,0,0,0,0,0,0,0,0,0,0,0,-7.00,-5.00,-7.00,-10.00,-10.00,-20.00,-47.00,-17.00,-8.00,-11.00,-8.00,-8.00
201,192.60,0,0,360.80,289.40,297.00,329.00,325.70,0,0,448.70,0,0.00,0.00,0.00,0.00,4191.00,4114.00,13696.00,5900.00,0.00,0.00,0.00,0.00
